subject_filename,ll_wo_constants,func_evals,iterations,alpha,beta_stage2,beta_MB,beta_MF0,beta_MF1,beta_stick
33F859I566D8MDQYVDGMYUEVKXZBH4.csv, -262.928436, 14, 12, 0.373525, 0.422264, -0.319203, -0.197626, -0.837349, 0.386459
3JNQLM5FT4MGKW9S3529PT4Y73V2LQ.csv, -241.870170, 15, 12, 0.574066, 0.725686, 0.102636, -0.333061, -0.924308, -0.819949
34S6N1K2ZVJKZMCAMQ5GCXA0WM5HLF.csv, -229.262596, 17, 14, 0.637840, 1.594996, -0.268807, 0.066122, 0.544274, 0.818839
34FNN24DCM9SJSZE43TXH8960SI5YE.csv, -161.403639, 20, 17, 1.000000, 1.118041, 0.179641, 0.990055, -1.132085, 3.661435
37U1UTWH9VM2996UO686LWQ0ZVDR89.csv, -232.210283, 14, 12, 0.832962, 1.748393, 0.595452, -0.014285, 0.970920, 0.174999
3483FV8BEEJY1B6LG1W70AM1H8A26M.csv, -162.697709, 20, 17, 1.000000, 4.060483, 0.034135, 0.360563, 0.379785, 2.021783
33FOTY3KEMLGS7XQ7O9WHR46KQF1C7.csv, -247.800690, 21, 16, 0.334718, 0.772138, -0.260769, 0.482113, 0.659900, -1.130488
32ZKVD547FNTS5JZGSRKU0DL1N1B37.csv, -167.097121, 22, 19, 0.627845, 3.059658, 1.144009, -0.840123, 1.733930, 0.880824
3JNQLM5FT4MGKW9S3529PT4Y78O2LT.csv, -211.205292, 21, 16, 0.387160, 1.495117, -0.348827, 0.325329, 0.675861, 0.561734
3IXEICO792JSLA0YZGG31XVRH466T3.csv, -175.785507, 16, 13, 1.000000, 2.624636, 0.736842, 0.314580, 1.203897, 1.202462
34V1S5K3GS191VRK1ABMAXUFMGE69F.csv, -164.171258, 22, 19, 0.806911, 2.850944, -0.225814, -0.832160, 1.915386, 1.470244
3PDJHANYK5G2G193ZMZENES36RP6H5.csv, -167.497910, 17, 14, 0.590555, 1.570463, 0.281919, 0.602038, 1.307810, 1.313841
3JMSRU9HQIUBBHX2ATZGE3BPU7AEVF.csv, -196.325299, 22, 18, 0.569886, 0.932247, 0.322280, 0.280491, 0.440239, -2.570805
3EFVCAY5L39LBLNHG1ZXJ549PJB8J0.csv, -248.015449, 17, 15, 0.428150, 0.846228, 0.062633, -0.225625, 1.047949, 0.087541
3GFK2QRXX9HOUN4EP2B9WBOQPKPW5D.csv, -226.339865, 17, 14, 0.459941, 1.349566, -0.376895, -0.376353, 1.530452, 0.104261
33LK57MYLT5TUK7UCL8OOQS0J8USZX.csv, -169.652554, 23, 20, 0.910008, 3.978329, 0.282931, 0.578030, 0.555095, 1.693809
3I02618YA06FVTXSEH5MCT8AV42PUG.csv, -167.006820, 17, 13, 0.681848, 1.715630, -0.289124, -1.172880, 2.782168, 1.349278
3IJXV6UZ1XJVYFI7XSKXYLKE1T6RI8.csv, -219.046778, 18, 15, 0.702749, 2.619436, 0.397733, -0.117190, 0.662890, 0.658544
34QN5IT0TZRE9FMVUTPR10PDQAC08S.csv, -162.773756, 24, 20, 0.324428, 1.802424, 0.251001, -0.207568, 0.413019, 1.816857
3FPRZHYEPY781JH5L9IKVC7S3IB3V4.csv, -200.703095, 19, 16, 0.713572, 1.964477, -0.002459, 0.456474, 1.211529, 0.528534
35USIKEBNRGUQXVE2KURSYPZR596NS.csv, -160.635487, 19, 16, 0.558179, 2.987495, 1.171470, -0.230094, 1.210796, 0.563719
33IZTU6J8114PP7FB3K3R5CPB8GSXK.csv, -130.241490, 25, 22, 0.664952, 5.000000, -0.519337, -0.264543, 5.000000, -0.292434
39GAF6DQWR0CRG3QY5417JSV6EQV1U.csv, -194.817430, 19, 16, 0.959439, 2.602599, 0.256099, 0.688688, 3.064646, -0.372177
36TFCYNS44AFZGTZ0984NR5N3VAHXW.csv, -223.948834, 19, 16, 0.974378, 3.435524, 0.131073, -0.499133, 1.216078, 0.012115
3OHYZ19UGC5DVK7TTCBGNSRQE1LAOP.csv, -163.834703, 20, 17, 0.876515, 2.925757, 0.630577, -1.638133, 1.194547, 2.279656
3C44YUNSI1PTERM6SMFX2T4M9OEDP5.csv, -221.426908, 20, 16, 0.883864, 2.574410, 0.328046, -0.015487, 1.683975, -0.299510
35LDD5557A4V7UV3SN9SP25HOD0KMZ.csv, -185.040684, 20, 18, 0.818939, 3.266067, 1.526838, -0.201504, 1.665822, 0.441527
39DD6S19JPBSK12CBQOJZ9OLJL3EZ9.csv, -215.359920, 20, 16, 0.495166, 2.322032, -0.163874, -0.307074, -0.189608, 1.271469
33F859I566D8MDQYVDGMYUEVKSZHB0.csv, -163.841215, 26, 22, 0.908422, 3.258453, -0.613734, -0.398862, 5.000000, 0.155088
3PMBY0YE273YHC0LB1OPWXMPJJ59CP.csv, -169.922737, 21, 18, 0.420554, 2.239636, 0.057619, 0.117191, 1.019391, 0.860088
3UN61F00HWPJMRNSQ8139CG9XA4R59.csv, -254.472210, 15, 13, 0.880996, 0.596235, 0.254393, 1.223815, -0.990030, 0.974154
3IGI0VL647KKF31I2GGL9YBQD3HNO9.csv, -167.551827, 21, 19, 0.855080, 2.789468, 1.603933, -0.303519, 5.000000, 0.523294
3GA6AFUKOOO3JIMLGK1GGBGJVWJ3HJ.csv, -215.479361, 21, 15, 0.400034, 1.182287, 0.114928, -0.304016, 1.487630, 0.137495
37UEWGM5HT8KY9M9PLZR6M3SLUZ1R1.csv, -146.893648, 21, 17, 0.654961, 3.173786, -0.613665, 1.582297, 1.606778, 0.839966
38F5OAUN5NCLK1N8IW46TSSZ04I7HH.csv, -253.717891, 21, 11, 0.198399, 0.356645, -0.230170, 0.264469, -0.103098, 0.653913
3OS4RQUCR9FO8HZS0NSMV92I3F9BFM.csv, -170.210522, 22, 19, 0.951661, 3.922958, -0.380145, 0.838452, 1.214990, 1.488055
3DYGAII7PL8N30QBX8LH2SBLRLLQP4.csv, -194.494311, 21, 17, 1.000000, 3.028507, 0.381290, 0.625174, 0.845796, 0.893172
3F1567XTNW52BDA4GJPKG2B6NZM9QC.csv, -199.825694, 22, 17, 1.000000, 1.077559, -0.754012, 1.276527, 0.973633, 1.530706
3634BBTX0OUYVPDY6XK3HW6VZNKFIR.csv, -215.929341, 22, 18, 0.548304, 0.959354, 0.021241, 0.395299, 1.092078, 0.403878
354P56DE9K3AAA1OTQG5X6Z1AWXS7K.csv, -220.824732, 22, 17, 0.463020, 1.045375, -0.494894, -0.196633, 2.006286, -0.177036
34T446B1C0EGLIC8B55W3MLWFY80C2.csv, -207.752847, 28, 20, 0.195700, 0.469386, 0.305810, -0.199678, 0.785557, 0.932796
33SA9F9TRXUOQ6X7034C05U319AWER.csv, -172.340376, 28, 23, 0.791160, 4.012480, 0.428700, -0.001109, 2.334568, 0.279070
39N5ACM9HENHB19PG6AVGXLWIJR9P8.csv, -172.871925, 22, 20, 1.000000, 5.000000, 0.296508, -0.012724, 5.000000, -0.030509
34T446B1C0EGLIC8B55W3MLWGWS0CJ.csv, -126.084122, 29, 26, 0.625609, 3.284364, -2.380787, 0.650141, 5.000000, 0.975533
3MHW492WW0D9N5PFRRNZRBGY4P2VMJ.csv, -236.630953, 24, 19, 0.348807, 1.736303, 0.534124, -0.259363, 0.263187, -0.188221
3U088ZLJVKTPZGIDSW5XFGSZ73ZW0U.csv, -258.334322, 16, 13, 0.603728, 1.266510, -0.196749, 0.683569, 0.165774, -0.156156
39K0FND3AHFPVHMHGWW3VO2LJXJMAR.csv, -198.970596, 23, 20, 0.560313, 2.221318, 0.284643, -0.615921, 1.063641, 0.823047
39N5ACM9HENHB19PG6AVGXLWHLL9P5.csv, -253.868284, 23, 17, 0.216426, 0.609259, 0.008482, 0.021026, 0.412175, 0.227391
3E13VNJ1NNV75AJQZY5ISU21YTM1IT.csv, -200.407938, 23, 19, 0.453522, 1.978003, 0.428517, -0.690831, 1.099090, 0.585012
3DZQRBDBSLFS9R01REDFKPNL5B83SL.csv, -159.930285, 23, 19, 0.420887, 2.274880, -0.125887, -0.782634, 3.239219, 0.144234
39U1BHVTDLRTORDGGEI5UUJ77ZC3TA.csv, -185.510499, 23, 21, 0.824932, 5.000000, 1.519585, -0.163717, 0.747919, 0.866215
3OXV7EAXLEQNMT24K1ACJKRTNRZ630.csv, -136.188270, 25, 21, 0.488276, 5.000000, 1.903339, -0.274939, 0.412770, 0.967646
3AMW0RGHOD2203DJHGT0YYGGNRTNP8.csv, -197.136358, 24, 19, 0.298505, 1.458718, 0.048636, -0.152863, -0.104285, 1.881739
3GA6AFUKOOO3JIMLGK1GGBGJV2WH3M.csv, -163.900543, 24, 21, 0.437444, 1.154281, 0.875031, 0.017110, 1.268154, 1.319588
3IKZ72A5B4GQ9QOP3DXVM42CK4CNFC.csv, -154.755269, 24, 21, 0.888461, 5.000000, -1.797131, -0.170998, 5.000000, 0.894079
3IUZPWIU1O7RC6PHWPFFY078MT9KWD.csv, -176.524516, 24, 18, 0.640988, 2.945081, 0.235177, 0.072302, 1.442390, 0.745691
3PQ8K71NHXKOTGDSJT6YMX7LPFHAAG.csv, -166.844645, 25, 21, 0.427698, 2.920538, 0.571649, -0.321457, 0.825699, 0.998423
3F6HPJW4JD0WVQLR7J9BY4LE5FZ2WT.csv, -168.201648, 24, 19, 0.525795, 2.686476, 0.173178, -0.520508, 2.389921, 0.384003
3E337GFOL98WNQKKEX3D4P2OLJ9GN1.csv, -165.826961, 24, 22, 0.935775, 5.000000, 0.091175, -0.336009, 5.000000, 0.272633
3A7Y0R2P2OOBQMOPO9BPZ4L2GNCXJF.csv, -155.916844, 24, 19, 0.678697, 3.625723, 1.808712, -1.368109, 2.500794, 0.678213
37M28K1J0QDZU9GWDZJBFWA4F2AAJV.csv, -174.342137, 24, 20, 0.839477, 3.996600, 0.347128, 0.411203, 1.979228, 0.461405
33L7PJKHCGYFPOJMSVD1LBRIMJM8TK.csv, -232.968892, 31, 25, 0.136847, 0.666408, -0.011842, 0.043098, 0.150640, 0.524728
3CTOC39K37QHB7IY6W7R558EDWNJ7Z.csv, -157.327192, 25, 21, 0.569702, 3.078855, 0.436129, 0.379689, 2.057179, 0.254900
3JCG6DTRV3Q83CRQXL062X1VXFRQQC.csv, -154.126859, 25, 21, 0.552553, 3.073783, -0.369314, 1.127786, 2.097787, 0.345903
3I2PTA7R3TUMS9TVKGG96BPMYSFQK2.csv, -229.297805, 22, 18, 0.616762, 2.231148, -0.225451, -0.911155, 1.422225, 0.097094
351SEKWQS0HNTOPT06N5LPAR4IRDMV.csv, -190.377793, 25, 23, 0.836292, 4.001080, -0.310589, -0.132066, 2.503482, 0.450442
33CUSNVVNNCWR4RYPX26UFVV9OC887.csv, -117.751465, 32, 27, 0.583175, 5.000000, 0.723989, 0.314467, 0.700343, 1.159102
3M68NM076H7F5VN6VRB81IU9S2VR6Y.csv, -135.275174, 26, 22, 0.687253, 5.000000, 1.523396, -1.810614, 1.941412, 2.111536
3JBT3HLQF82WHSR2K44UTLNPXN5ZP5.csv, -220.377058, 25, 19, 0.236961, 1.014987, -0.134687, 0.005967, 0.590238, 0.559717
3D4CH1LGEATBYOGQDNK8MO74HBRG90.csv, -158.529105, 25, 21, 0.893500, 5.000000, 2.257746, -0.394510, 5.000000, 1.006810
39GXDJN2OTEU2GNBXQDGMTF3J3MV85.csv, -160.269402, 25, 20, 0.497160, 2.459150, 0.802365, -0.770739, 2.172146, 0.971004
3TS1AR6UQQE165W2N6G6Q7GMKQ97FP.csv, -205.148571, 18, 15, 0.978579, 2.470302, -0.743633, 0.333628, 1.666241, 0.898458
3U0SRXB7CD5NCGTYU8XP3TGVNTTRNJ.csv, -221.646411, 19, 17, 0.950302, 5.000000, 1.210733, -0.297559, 0.041209, 0.128109
3EF8EXOTT1V30L3WHGQI4VH1B8HJ1T.csv, -165.191278, 26, 24, 0.872837, 4.528405, 0.409318, 1.893679, 1.733678, 0.554295
3HOSI13XHZOKPUJGNDO22ZNXVL2DDE.csv, -151.319862, 26, 24, 1.000000, 5.000000, 2.193567, 0.542718, 5.000000, 0.399776
3I3WADAZ9Q4GPEVCYGKZFHB4MIM5O6.csv, -117.704279, 26, 21, 0.485528, 3.855182, 0.704674, -0.135203, 1.836549, 0.853495
34YB12FSQYOQ58ZK2WODRADOGNRGMH.csv, -122.462173, 32, 30, 0.667349, 2.026507, 0.056590, 5.000000, 5.000000, 1.283380
3JMSRU9HQIUBBHX2ATZGE3BPU6OEVR.csv, -143.133168, 33, 27, 0.717719, 3.544563, 0.875880, 0.402613, 3.822788, 0.820741
3EFE17QCRC573Z706Z2HOJOVNCYSHG.csv, -169.573432, 26, 21, 0.519932, 4.183184, -0.249535, -0.891312, 1.751183, 0.666859
3ZSY5X72NXB5U1TAVNX2IIG0EJWROT.csv, -119.481844, 28, 24, 0.508413, 3.178651, 1.029849, 0.106369, 0.908846, 1.734122
3NGI5ARFTT5ZMW6UCTV21R3DK72P1E.csv, -124.519891, 28, 23, 0.283178, 2.840291, -0.234266, -0.266231, 0.649015, 2.291661
3D8YOU6S9EK7LNFNZL6D6THT0ZG6UV.csv, -148.438260, 26, 22, 0.558306, 2.275944, 0.942349, 0.602386, 0.979814, 1.079413
3G0WWMR1UVKN0FEYHT8PY36QS45QNQ.csv, -156.495558, 26, 23, 0.901674, 5.000000, -1.323923, 0.173801, 4.314264, 0.430683
3WEV0KO0OMSQRJ2YK3JRXY9XWOFDSB.csv, -222.568133, 15, 13, 0.839912, 1.357386, 0.704728, -0.235286, 0.954900, 0.846332
3EICBYG644WNNODUXDF2LR0SE7WCJ3.csv, -109.316200, 27, 23, 0.487568, 2.874214, 0.098194, -0.639002, 2.074037, 2.196356
3A1COHJ8NJVPKFSRS1WC7SOUCNP8H5.csv, -168.596811, 27, 24, 0.782064, 4.410613, -0.631639, 0.010532, 3.199254, 0.078874
3GDTJDAPVUBBCTT2JYCPZXWQTD88M6.csv, -127.565628, 28, 25, 0.598100, 5.000000, 2.026891, -0.597596, 5.000000, 0.101995
3EO896NRAWV495F5JZASA10W3AKTJQ.csv, -155.697579, 28, 26, 0.890094, 3.291635, 2.048137, -1.660273, 4.847014, 0.378895
35K3O9HUABDMFKBCAEUCWH837FTEF3.csv, -155.562782, 28, 24, 0.537190, 4.478850, -0.047763, 0.531883, 0.363783, 0.879550
3HMIGG0U4L6B6AIG2100TSJX2JY8Y0.csv, -127.722255, 28, 25, 1.000000, 5.000000, 0.165274, 5.000000, 5.000000, 1.475738
3LJ7UR74RHDGBAR0JW1CV05LWHJ4NS.csv, -253.335873, 13, 11, 0.496430, 1.016490, 0.382216, 0.394355, 0.017049, 0.304651
3EFE17QCRC573Z706Z2HOJOVOLDHS3.csv, -156.713857, 28, 24, 0.606042, 2.258793, -1.110403, 0.530691, 1.829987, 1.330199
37ZHEEHM6WM6QTG93BF4PYRPIXP73W.csv, -154.870470, 28, 25, 0.960022, 5.000000, 0.180021, 0.379090, 5.000000, -0.421738
3NPFYT4IZC41ZKYOG3QM2RTMNXPXG8.csv, -199.584119, 26, 21, 0.189714, 1.020865, 0.228788, -0.171989, 0.339361, 1.296831
3NAPMVF0ZWFH5BKQZB1Z6OMXBLQ27K.csv, -137.278185, 30, 25, 0.673570, 4.879623, 1.315342, -0.423363, 1.729560, 1.147265
3M23Y66PO27R6ANJAGBDRSZ5F2V6SF.csv, -138.731384, 30, 25, 0.575022, 2.137218, 0.733839, 0.210489, 1.608140, 1.940680
3E4GGUZ1T8R50QRAI5Q8ATRJIMM2KL.csv, -151.832625, 28, 25, 0.475738, 2.119680, 0.377794, -0.068582, 1.537586, 1.526535
3NLZY2D53PPXCFBD5GSALB21M5ULQZ.csv, -101.311617, 30, 27, 0.466544, 4.669060, 1.181534, -0.059707, 0.396224, 2.388478
3E4GGUZ1T8R50QRAI5Q8ATRJH5Z2KZ.csv, -137.833115, 29, 27, 0.663923, 1.264568, 2.044049, 5.000000, -0.279306, 4.124394
3TPWUS5F8919T8DT4CYHAHU0G3YCWR.csv, -188.755159, 19, 16, 0.722878, 2.419946, 0.578213, -0.732213, 2.226708, 0.340094
3IHR8NYAM71GEV3DZBE4ZPAGWREP4T.csv, -239.165183, 29, 19, 0.140979, 0.732438, 0.298942, -0.207820, 0.271227, 0.545626
39LOEL67OS5AQ7LSDG7A3YNKTMQ38K.csv, -149.346309, 29, 24, 0.453392, 3.139383, 2.774917, -1.060392, 2.077037, 0.649023
3TVSS0C0E10QFPF4QYT7ZRU45S5TW5.csv, -234.954314, 20, 17, 0.601539, 2.176837, 0.335885, -0.202918, 0.942071, -0.173833
3EKVH9QMEY4XMKL0QO4L6GWTYZND2P.csv, -168.207957, 29, 24, 0.799051, 4.310514, 0.362182, 0.763870, 3.143311, 0.181410
3TYCR1GOTCJ6Q7C4SCBNC4E5SCHZLI.csv, -225.211315, 20, 16, 0.334461, 1.499972, 0.090980, -0.139756, -0.370786, -0.807691
3ATPCQ38J8APPYBVZZKEPJPSSPMYAI.csv, -124.239255, 29, 24, 0.633226, 5.000000, -2.459219, 0.415799, 3.426521, 1.174076
3OHYZ19UGC5DVK7TTCBGNSRQEWIAOC.csv, -127.884767, 31, 26, 0.513580, 4.639702, -0.138252, 0.549483, 2.372868, -0.476435
378XPAWRUCD3ZYWQVHYB3VV42NJAIH.csv, -164.120624, 30, 23, 0.349729, 2.100188, 0.037213, -0.752469, 1.390749, 1.359757
3RRCEFRB7MCEA123G6W3455RFNAB45.csv, -270.207927, 17, 14, 0.443173, -0.259597, -0.155890, 0.332908, 0.329834, 0.037025
3E7TUJ2EGCM8M46ZBXJ0G34741DD9P.csv, -133.859650, 30, 27, 0.654566, 4.062205, 2.448275, 0.489308, 1.610489, 0.328757
338JKRMM26Z333L6PZGQ3JUP16THAB.csv, -82.639275, 38, 29, 0.138197, 1.794614, -0.132742, 0.163319, -0.078030, 2.087217
33PPUNGG385HT57HXW8JYGN4X6BZRG.csv, -97.469878, 38, 31, 0.354975, 3.425677, 0.565300, -0.184620, 1.692608, 1.267128
3QXNC7EIPIVENK55ZLV51WKOABT90F.csv, -249.664866, 17, 14, 0.433979, 0.651450, -0.261429, 0.405040, 1.129997, -0.978167
3OVR4I9USPJ1E74SZOTTZU0Q1NZQ4K.csv, -82.780348, 32, 25, 0.295164, 3.913957, 0.793758, -0.976732, 2.954920, 1.035396
3GNA64GUZE4JAQ8SDTC34M641JY5Q8.csv, -132.103884, 31, 26, 0.641972, 5.000000, -0.183063, -0.627939, 5.000000, -0.060283
3TDXMTX3CBU2CWKN54HZNQTI56EI6N.csv, -176.793171, 21, 19, 0.857084, 5.000000, 0.441247, 0.008215, 2.339921, 0.013794
3T111IHZ5EQ2NEP4TYEKLSLBI4E9R4.csv, -187.451521, 21, 18, 0.647103, 1.750871, 0.919749, -1.553956, 2.141902, 0.858459
3G5F9DBFOPXNVRO40U7MZ682MM6VHE.csv, -152.299566, 31, 25, 0.496993, 3.090434, 1.601741, -1.540592, 2.559627, 0.965301
35L9RVQFCOINICZ4V4XH3K6J9DWUHK.csv, -258.845553, 31, 25, 0.100000, 0.318454, 0.174055, -0.003615, -0.000779, 0.485937
3NOKK93PR18U96BGF3A6EZN3V9AEE7.csv, -128.591331, 33, 30, 0.557251, 2.100217, 1.637629, -0.094642, 4.243939, 0.918210
3E337GFOL98WNQKKEX3D4P2OMMTNGZ.csv, -131.303130, 32, 25, 0.287249, 1.821740, 0.603469, -0.669900, 0.876136, 2.729430
3018Q3ZVOIQGSXZ9L4SKHNWVPJAART.csv, -250.415628, 15, 13, 0.840948, 0.808535, -0.124927, -0.171235, 0.382309, 0.875379
382M9COHEHFBY28253PBIH96HGBUED.csv, -96.190978, 32, 29, 0.563207, 5.000000, 2.826086, -0.903789, 3.313433, 1.368463
3FIJLY1B6U4QCB02JSANQT77LH4PFY.csv, -159.640422, 32, 27, 0.830510, 4.402693, 4.182583, 0.234824, 3.553504, 0.997638
3R0T90IZ1SCDWMNTP7UZOE8CNDBGCW.csv, -239.471826, 18, 15, 0.889276, 1.880092, 0.156076, -0.303833, 0.414518, 0.744857
34T446B1C0EGLIC8B55W3MLWGWMC0P.csv, -109.618567, 39, 34, 0.658501, 4.417371, 3.401481, 1.137296, 5.000000, 0.820691
